Source,Target,Points,source_longitude,source_latitude,target_longitude,target_latitude,shortest_trains,path_nodes,path_edges,equal_shortest_paths,straight_line_km,points_per_train,max_detour_trains,has_cut_edge,mean_edge_length,intermediate_cities,tunnel_fraction,ferry_fraction,high_value_edge_overlap
Venezia,Constantinople,10,12.3155,45.4408,28.9795,41.0082,10,Venezia -> Zagrab -> Sarajevo -> Sofia -> Constantinople,Venezia--Zagrab | Sarajevo--Zagrab | Sarajevo--Sofia | Constantinople--Sofia,1,1434.0893259006782,1.0,2.0,False,2.5,3,0.25,0.0,0.0
London,Wien,10,-0.128,51.5074,16.3738,48.2082,9,London -> Amsterdam -> Frankfurt -> Munchen -> Wien,Amsterdam--London | Amsterdam--Frankfurt | Frankfurt--Munchen | Munchen--Wien,1,1235.4216245903156,1.1111111111111112,2.0,False,2.25,3,0.0,0.25,1.0
Angora,Kharkov,10,32.8597,39.9334,36.2304,49.9935,10,Angora -> Erzurum -> Sochi -> Rostov -> Kharkov,Angora--Erzurum | Erzurum--Sochi | Rostov--Sochi | Kharkov--Rostov,1,1149.3188013531037,1.0,3.0,False,2.5,3,0.25,0.0,0.0
Essen,Kyiv,10,7.0146,51.4584,30.5238,50.4501,10,Essen -> Berlin -> Warzawa -> Kyiv,Berlin--Essen | Berlin--Warzawa | Kyiv--Warzawa,1,1643.4357837302136,1.0,3.0,False,3.3333333333333335,2,0.0,0.0,1.6666666666666667
Riga,Bucuresti,10,24.1052,56.9496,26.1025,44.4268,10,Riga -> Wilno -> Kyiv -> Bucuresti,Riga--Wilno | Kyiv--Wilno | Bucuresti--Kyiv,1,1399.4073563361353,1.0,4.0,False,3.3333333333333335,2,0.0,0.0,1.0
Stockholm,Wien,10,18.0686,59.3293,16.3738,48.2082,11,Stockholm -> Khobenhaven -> Essen -> Berlin -> Wien,Khobenhaven--Stockholm | Essen--Khobenhaven | Berlin--Essen | Berlin--Wien,1,1241.5122400019272,0.9090909090909091,8.0,False,2.75,3,0.0,0.25,1.5
Athina,Wilno,11,23.7275,37.9838,25.2797,54.6872,11,Athina -> Sofia -> Bucuresti -> Kyiv -> Wilno,Athina--Sofia | Bucuresti--Sofia | Bucuresti--Kyiv | Kyiv--Wilno,1,1861.035485709744,1.0,4.0,False,2.75,3,0.25,0.0,1.25
Amsterdam,Wilno,12,4.8975,52.3779,25.2797,54.6872,12,Amsterdam -> Frankfurt -> Berlin -> Warzawa -> Wilno,Amsterdam--Frankfurt | Berlin--Frankfurt | Berlin--Warzawa | Warzawa--Wilno,2,1366.2162781127206,1.0,3.0,False,3.0,3,0.0,0.0,2.5
Berlin,Moskva,12,13.405,52.52,37.6176,55.7558,12,Berlin -> Warzawa -> Wilno -> Smolensk -> Moskva,Berlin--Warzawa | Warzawa--Wilno | Smolensk--Wilno | Moskva--Smolensk,1,1608.8500845802332,1.0,2.0,False,3.0,3,0.0,0.0,1.75
Frankfurt,Smolensk,13,8.6821,50.1109,32.0434,54.7867,13,Frankfurt -> Berlin -> Warzawa -> Wilno -> Smolensk,Berlin--Frankfurt | Berlin--Warzawa | Warzawa--Wilno | Smolensk--Wilno,1,1657.2640684837818,1.0,1.0,False,3.25,3,0.0,0.0,2.25
Roma,Smyrna,8,12.4964,41.9028,27.1428,38.4192,8,Roma -> Brindisi -> Athina -> Smyrna,Brindisi--Roma | Athina--Brindisi | Athina--Smyrna,1,1301.5963581595504,1.0,6.0,False,2.6666666666666665,2,0.0,0.6666666666666666,0.6666666666666666
Madrid,Zurich,8,-3.7038,40.4168,8.5417,47.3769,8,Madrid -> Barcelona -> Marseille -> Zurich,Barcelona--Madrid | Barcelona--Marseille | Marseille--Zurich,1,1247.1732570175907,1.0,2.0,False,2.6666666666666665,2,0.3333333333333333,0.0,0.0
Paris,Wien,8,2.3522,48.8566,16.3738,48.2082,8,Paris -> Frankfurt -> Munchen -> Wien,Frankfurt--Paris | Frankfurt--Munchen | Munchen--Wien,2,1033.4922772841828,1.0,1.0,False,2.6666666666666665,2,0.0,0.0,2.0
Brest,Venezia,8,-4.4861,48.3904,12.3155,45.4408,8,Brest -> Paris -> Zurich -> Venezia,Brest--Paris | Paris--Zurich | Venezia--Zurich,2,1314.6538239454158,1.0,2.0,False,2.6666666666666665,2,0.6666666666666666,0.0,0.3333333333333333
Palermo,Constantinople,8,13.3613,38.1157,28.9795,41.0082,10,Palermo -> Athina -> Smyrna -> Constantinople,Athina--Palermo | Athina--Smyrna | Constantinople--Smyrna,1,1374.8849558488498,0.8,2.0,False,3.3333333333333335,2,0.3333333333333333,0.6666666666666666,0.3333333333333333
Madrid,Dieppe,8,-3.7038,40.4168,1.0792,49.9252,8,Madrid -> Pamplona -> Paris -> Dieppe,Madrid--Pamplona | Pamplona--Paris | Dieppe--Paris,1,1121.2017095385731,1.0,1.0,False,2.6666666666666665,2,0.3333333333333333,0.0,1.3333333333333333
Berlin,Bucuresti,8,13.405,52.52,26.1025,44.4268,8,Berlin -> Wien -> Budapest -> Bucuresti,Berlin--Wien | Budapest--Wien | Bucuresti--Budapest,1,1294.9865713838296,1.0,4.0,False,2.6666666666666665,2,0.3333333333333333,0.0,1.3333333333333333
Barcelona,Bruxelles,8,2.1734,41.3851,4.3517,50.8503,8,Barcelona -> Pamplona -> Paris -> Bruxelles,Barcelona--Pamplona | Pamplona--Paris | Bruxelles--Paris,1,1065.6615733247188,1.0,2.0,False,2.6666666666666665,2,0.3333333333333333,0.0,0.6666666666666666
Berlin,Roma,9,13.405,52.52,12.4964,41.9028,9,Berlin -> Frankfurt -> Munchen -> Venezia -> Roma,Berlin--Frankfurt | Frankfurt--Munchen | Munchen--Venezia | Roma--Venezia,2,1182.5461961338706,1.0,4.0,False,2.25,3,0.25,0.0,2.0
Bruxelles,Danzic,9,4.3517,50.8503,18.6466,54.352,8,Bruxelles -> Frankfurt -> Berlin -> Danzic,Bruxelles--Frankfurt | Berlin--Frankfurt | Berlin--Danzic,1,1038.6517004463196,1.125,3.0,False,2.6666666666666665,2,0.0,0.0,2.0
Paris,Zagrab,7,2.3522,48.8566,15.9819,45.815,7,Paris -> Zurich -> Venezia -> Zagrab,Paris--Zurich | Venezia--Zurich | Venezia--Zagrab,1,1079.5768829622566,1.0,3.0,False,2.3333333333333335,2,0.6666666666666666,0.0,0.3333333333333333
Amsterdam,Pamplona,7,4.8975,52.3779,-1.6458,42.8125,7,Amsterdam -> Bruxelles -> Paris -> Pamplona,Amsterdam--Bruxelles | Bruxelles--Paris | Pamplona--Paris,1,1170.1798500098243,1.0,2.0,False,2.3333333333333335,2,0.0,0.0,0.6666666666666666
London,Berlin,7,-0.128,51.5074,13.405,52.52,7,London -> Amsterdam -> Frankfurt -> Berlin,Amsterdam--London | Amsterdam--Frankfurt | Berlin--Frankfurt,2,931.5829475499287,1.0,2.0,False,2.3333333333333335,2,0.0,0.3333333333333333,3.0
Brest,Marseille,7,-4.4861,48.3904,5.3698,43.2965,7,Brest -> Paris -> Marseille,Brest--Paris | Marseille--Paris,2,949.3837083581031,1.0,1.0,False,3.5,1,0.0,0.0,0.5
Edinburgh,Paris,7,-3.1883,55.9533,2.3522,48.8566,7,Edinburgh -> London -> Dieppe -> Paris,Edinburgh--London | Dieppe--London | Dieppe--Paris,1,873.3881303029856,1.0,2.0,True,2.3333333333333335,2,0.0,0.3333333333333333,0.3333333333333333
Marseille,Essen,8,5.3698,43.2965,7.0146,51.4584,8,Marseille -> Zurich -> Munchen -> Frankfurt -> Essen,Marseille--Zurich | Munchen--Zurich | Frankfurt--Munchen | Essen--Frankfurt,1,915.9086229012867,1.0,2.0,False,2.0,3,0.5,0.0,0.75
Smolensk,Rostov,8,32.0434,54.7867,39.6916,47.2357,8,Smolensk -> Moskva -> Kharkov -> Rostov,Moskva--Smolensk | Kharkov--Moskva | Kharkov--Rostov,1,994.340721904373,1.0,7.0,False,2.6666666666666665,2,0.0,0.0,1.0
Barcelona,Munchen,8,2.1734,41.3851,11.5819,48.1351,8,Barcelona -> Marseille -> Zurich -> Munchen,Barcelona--Marseille | Marseille--Zurich | Munchen--Zurich,1,1054.5316072607568,1.0,3.0,False,2.6666666666666665,2,0.6666666666666666,0.0,0.0
Sarajevo,Sevastopol,8,18.4131,43.8563,33.5067,44.6166,8,Sarajevo -> Sofia -> Bucuresti -> Sevastopol,Sarajevo--Sofia | Bucuresti--Sofia | Bucuresti--Sevastopol,1,1203.7103029346654,1.0,3.0,False,2.6666666666666665,2,0.6666666666666666,0.0,1.3333333333333333
Kyiv,Sochi,8,30.5238,50.4501,39.7359,43.5855,8,Kyiv -> Kharkov -> Rostov -> Sochi,Kharkov--Kyiv | Kharkov--Rostov | Rostov--Sochi,1,1033.0490219628102,1.0,2.0,False,2.6666666666666665,2,0.0,0.0,0.6666666666666666
Athina,Angora,5,23.7275,37.9838,32.8597,39.9334,5,Athina -> Smyrna -> Angora,Athina--Smyrna | Angora--Smyrna,1,818.4079543179012,1.0,3.0,False,2.5,1,0.5,0.5,0.0
Sofia,Smyrna,5,23.7275,42.6977,27.1428,38.4192,5,Sofia -> Athina -> Smyrna,Athina--Sofia | Athina--Smyrna,2,556.2796907269086,1.0,0.0,False,2.5,1,0.0,0.5,1.0
Frankfurt,Khobenhaven,5,8.6821,50.1109,12.5683,55.6761,5,Frankfurt -> Essen -> Khobenhaven,Essen--Frankfurt | Essen--Khobenhaven,1,671.2341263725934,1.0,19.0,False,2.5,1,0.0,0.5,2.0
Budapest,Sofia,5,19.0402,47.4979,23.7275,42.6977,5,Budapest -> Sarajevo -> Sofia,Budapest--Sarajevo | Sarajevo--Sofia,1,648.000182466163,1.0,1.0,False,2.5,1,0.5,0.0,0.5
Rostov,Erzurum,5,39.6916,47.2357,41.267,39.9334,5,Rostov -> Sochi -> Erzurum,Rostov--Sochi | Erzurum--Sochi,1,821.7840501316862,1.0,3.0,False,2.5,1,0.5,0.0,1.0
