metric,baseline_median,learned_median,median_paired_difference,mean_paired_difference,learned_greater_rate,equal_rate,baseline_q1,baseline_q3,learned_q1,learned_q3
printed_ticket_points,67.0,66.0,0.0,-1.164,0.232,0.452,60.0,76.0,59.0,74.0
route_points,63.0,62.0,0.0,-0.204,0.272,0.424,59.25,66.0,59.0,66.0
total_points,130.0,129.0,0.0,-1.368,0.264,0.368,123.0,137.0,122.0,137.0
ticket_points_per_train,1.5555555555555556,1.523268398268398,0.0,-0.026397053202044694,0.264,0.384,1.3823051948051948,1.7267045454545455,1.3555555555555556,1.6904761904761905
total_points_per_train,3.0,2.9545454545454546,0.0,-0.030798067426995392,0.264,0.372,2.8643939393939393,3.1555555555555554,2.8191919191919195,3.1356060606060607
tickets_connected,7.0,7.0,0.0,0.064,0.184,0.664,6.0,8.0,6.0,8.0
ticket_coverage_rate,0.5833333333333334,0.5833333333333334,0.0,0.0053333333333333375,0.184,0.664,0.5,0.6666666666666666,0.5,0.6666666666666666
printed_points_coverage_rate,0.5949344542604731,0.5862455726092091,0.0,-0.010086409370587902,0.232,0.452,0.528,0.6549629752891255,0.5201048951048951,0.6551480405246211
trains_used,44.0,44.0,0.0,-0.02,0.248,0.496,42.0,45.0,42.0,45.0
mean_blocked_ticket_points,60.0,60.5,0.0,-0.6728,0.316,0.384,53.849999999999994,69.0,53.0,67.8
worst_blocked_ticket_points,43.0,44.0,0.0,0.272,0.276,0.412,32.0,59.0,34.0,57.0
mean_blocked_retention,0.9255973266499582,0.9283582089552239,0.0,0.0060880763619294296,0.308,0.456,0.8680570362473348,0.9836065573770492,0.8825529265255293,0.9825235109717868
worst_blocked_retention,0.7029138513513513,0.743516761543327,0.0,0.017955489348629727,0.264,0.472,0.47817423540315107,0.9180327868852459,0.49295774647887325,0.9126175548589341
