trial,method,candidate_indices,selected_global_indices,built_edges,trains_used,tickets_connected,candidate_tickets,unconnected_candidates,ticket_coverage_rate,candidate_ticket_points,unconnected_candidate_points,printed_points_coverage_rate,predicted_ticket_value,printed_ticket_points,route_points,total_points,ticket_points_per_train,total_points_per_train,points_per_train,mean_blocked_ticket_points,worst_blocked_ticket_points,mean_blocked_retention,worst_blocked_retention
0,Original baseline,"1,8,10,13,15,17,19,22,23,29,33,37","23,13,17,15,1,22,19,37,10",Athina--Brindisi | Athina--Smyrna | Barcelona--Madrid | Barcelona--Marseille | Berlin--Danzic | Berlin--Wien | Brest--Paris | Brindisi--Roma | Bruxelles--Paris | Dieppe--London | Dieppe--Paris | Marseille--Paris | Marseille--Zurich | Roma--Venezia | Venezia--Zagrab | Venezia--Zurich | Wien--Zagrab,42.0,9.0,12.0,3.0,0.75,96.0,25.0,0.7395833333333334,71.0,71.0,54.0,125.0,1.6904761904761905,2.9761904761904763,2.9761904761904763,69.4,63.0,0.9774647887323944,0.8873239436619719
0,Learned revised,"1,8,10,13,15,17,19,22,23,29,33,37","23,13,17,15,1,22,19,37,10",Athina--Brindisi | Athina--Smyrna | Barcelona--Madrid | Barcelona--Marseille | Berlin--Danzic | Berlin--Wien | Brest--Paris | Brindisi--Roma | Bruxelles--Paris | Dieppe--London | Dieppe--Paris | Marseille--Paris | Marseille--Zurich | Roma--Venezia | Venezia--Zagrab | Venezia--Zurich | Wien--Zagrab,42.0,9.0,12.0,3.0,0.75,96.0,25.0,0.7395833333333334,70.55920410113016,71.0,54.0,125.0,1.6904761904761905,2.9761904761904763,2.9761904761904763,69.4,63.0,0.9774647887323944,0.8873239436619719
1,Original baseline,"8,11,13,16,22,24,27,31,33,34,41,43","16,33,43,22,24,31,41",Amsterdam--Frankfurt | Amsterdam--London | Athina--Smyrna | Athina--Sofia | Berlin--Danzic | Berlin--Frankfurt | Berlin--Wien | Brest--Paris | Bucuresti--Budapest | Bucuresti--Sofia | Budapest--Wien | Danzic--Riga | Edinburgh--London | Frankfurt--Paris | Petrograd--Riga,42.0,7.0,12.0,5.0,0.5833333333333334,114.0,41.0,0.6403508771929824,73.0,73.0,58.0,131.0,1.7380952380952381,3.119047619047619,3.119047619047619,55.4,25.0,0.7589041095890411,0.3424657534246575
1,Learned revised,"8,11,13,16,22,24,27,31,33,34,41,43","34,16,33,8,41,22,24",Berlin--Frankfurt | Berlin--Wien | Brest--Paris | Bucuresti--Budapest | Bucuresti--Kyiv | Bucuresti--Sofia | Budapest--Wien | Dieppe--London | Dieppe--Paris | Edinburgh--London | Erzurum--Sochi | Frankfurt--Paris | Kyiv--Smolensk | Moskva--Petrograd | Moskva--Smolensk | Rostov--Sochi,44.0,7.0,12.0,5.0,0.5833333333333334,114.0,50.0,0.5614035087719298,64.4357802443654,64.0,62.0,126.0,1.4545454545454546,2.8636363636363638,2.8636363636363638,58.6,37.0,0.915625,0.578125
2,Original baseline,"7,9,18,27,32,34,36,37,38,40,41,45","38,40,45",Athina--Palermo | Athina--Sofia | Bucuresti--Kyiv | Bucuresti--Sevastopol | Bucuresti--Sofia | Erzurum--Sevastopol | Khobenhaven--Stockholm | Kyiv--Wilno | Moskva--Petrograd | Petrograd--Stockholm | Petrograd--Wilno,44.0,3.0,12.0,9.0,0.25,131.0,84.0,0.35877862595419846,47.0,47.0,83.0,130.0,1.0681818181818181,2.9545454545454546,2.9545454545454546,47.0,47.0,1.0,1.0
2,Learned revised,"7,9,18,27,32,34,36,37,38,40,41,45","38,40,45",Athina--Palermo | Athina--Sofia | Bucuresti--Kyiv | Bucuresti--Sevastopol | Bucuresti--Sofia | Erzurum--Sevastopol | Khobenhaven--Stockholm | Kyiv--Wilno | Moskva--Petrograd | Petrograd--Stockholm | Petrograd--Wilno,44.0,3.0,12.0,9.0,0.25,131.0,84.0,0.35877862595419846,47.02493391237121,47.0,83.0,130.0,1.0681818181818181,2.9545454545454546,2.9545454545454546,47.0,47.0,1.0,1.0
3,Original baseline,"6,8,9,15,18,20,23,24,27,28,37,43","23,15,27,20,43,24,37",Athina--Brindisi | Athina--Sarajevo | Barcelona--Madrid | Barcelona--Marseille | Brest--Paris | Dieppe--London | Dieppe--Paris | Edinburgh--London | Marseille--Paris | Marseille--Zurich | Munchen--Zurich | Sarajevo--Zagrab | Venezia--Zagrab | Venezia--Zurich,39.0,7.0,12.0,5.0,0.5833333333333334,117.0,53.0,0.5470085470085471,64.0,64.0,56.0,120.0,1.641025641025641,3.076923076923077,3.076923076923077,64.0,64.0,1.0,1.0
3,Learned revised,"6,8,9,15,18,20,23,24,27,28,37,43","23,15,27,20,43,24,37",Athina--Brindisi | Athina--Sarajevo | Barcelona--Madrid | Barcelona--Marseille | Brest--Paris | Dieppe--London | Dieppe--Paris | Edinburgh--London | Marseille--Paris | Marseille--Zurich | Munchen--Zurich | Sarajevo--Zagrab | Venezia--Zagrab | Venezia--Zurich,39.0,7.0,12.0,5.0,0.5833333333333334,117.0,53.0,0.5470085470085471,63.629936294319464,64.0,56.0,120.0,1.641025641025641,3.076923076923077,3.076923076923077,64.0,64.0,1.0,1.0
4,Original baseline,"11,13,21,23,28,33,34,35,37,39,40,45","23,13,11,39,40,37,35",Barcelona--Madrid | Barcelona--Marseille | Brest--Paris | Brindisi--Roma | Budapest--Kyiv | Budapest--Zagrab | Kyiv--Smolensk | Kyiv--Warzawa | Marseille--Paris | Marseille--Zurich | Moskva--Smolensk | Palermo--Roma | Roma--Venezia | Venezia--Zagrab | Venezia--Zurich,44.0,7.0,12.0,5.0,0.5833333333333334,107.0,46.0,0.5700934579439252,61.0,61.0,67.0,128.0,1.3863636363636365,2.909090909090909,2.909090909090909,61.0,61.0,1.0,1.0
4,Learned revised,"11,13,21,23,28,33,34,35,37,39,40,45","21,11,13,23,39,37,40",Amsterdam--Bruxelles | Brest--Paris | Brindisi--Palermo | Brindisi--Roma | Bruxelles--Paris | Budapest--Kyiv | Budapest--Zagrab | Kyiv--Smolensk | Madrid--Pamplona | Marseille--Zurich | Moskva--Smolensk | Pamplona--Paris | Paris--Zurich | Roma--Venezia | Venezia--Zagrab | Venezia--Zurich,42.0,7.0,12.0,5.0,0.5833333333333334,107.0,45.0,0.5794392523364486,62.8503902558403,62.0,59.0,121.0,1.4761904761904763,2.880952380952381,2.880952380952381,59.0,47.0,0.9516129032258065,0.7580645161290323
5,Original baseline,"0,9,10,13,14,16,17,21,27,29,33,43","14,10,0,43,13,21,27,17,16",Amsterdam--Bruxelles | Amsterdam--Frankfurt | Amsterdam--London | Athina--Palermo | Athina--Smyrna | Barcelona--Pamplona | Berlin--Frankfurt | Brest--Dieppe | Brest--Pamplona | Bucuresti--Constantinople | Constantinople--Smyrna | Dieppe--London | Edinburgh--London | Frankfurt--Munchen | Munchen--Venezia | Palermo--Roma | Roma--Venezia,45.0,9.0,12.0,3.0,0.75,112.0,26.0,0.7678571428571429,86.0,86.0,65.0,151.0,1.9111111111111112,3.3555555555555556,3.3555555555555556,61.2,41.0,0.7116279069767443,0.47674418604651164
5,Learned revised,"0,9,10,13,14,16,17,21,27,29,33,43","14,10,0,43,13,21,27,17,16",Amsterdam--Bruxelles | Amsterdam--Frankfurt | Amsterdam--London | Athina--Palermo | Athina--Smyrna | Barcelona--Pamplona | Berlin--Frankfurt | Brest--Dieppe | Brest--Pamplona | Bucuresti--Constantinople | Constantinople--Smyrna | Dieppe--London | Edinburgh--London | Frankfurt--Munchen | Munchen--Venezia | Palermo--Roma | Roma--Venezia,45.0,9.0,12.0,3.0,0.75,112.0,26.0,0.7678571428571429,85.90459050724314,86.0,65.0,151.0,1.9111111111111112,3.3555555555555556,3.3555555555555556,61.2,41.0,0.7116279069767443,0.47674418604651164
